delta, theta, alpha, beta, gamma, peak_freq, centroid, label
0.022635, 0.165601, 0.074506, 0.173130, 0.227127, 6.000000, 44.933751,yes
0.034798, 0.177991, 0.073490, 0.144919, 0.253188, 6.000000, 42.520446,yes
0.017025, 0.107329, 0.028331, 0.203575, 0.292533, 6.000000, 44.712608,yes
0.123684, 0.110373, 0.080339, 0.147797, 0.215785, 3.000000, 44.262077,yes
0.035406, 0.148539, 0.067703, 0.165295, 0.245450, 6.000000, 44.288807,yes
0.041942, 0.106483, 0.078510, 0.151131, 0.249841, 6.000000, 48.401724,yes
0.034722, 0.108117, 0.051061, 0.185471, 0.288120, 6.000000, 46.392716,yes
0.027081, 0.092362, 0.038145, 0.202209, 0.261818, 6.000000, 51.362439,yes
0.042499, 0.193416, 0.107922, 0.078169, 0.137769, 6.000000, 47.107695,yes
0.019390, 0.172731, 0.034165, 0.131891, 0.291818, 6.000000, 46.255601,yes
0.036601, 0.179387, 0.071498, 0.112267, 0.302225, 6.000000, 44.613694,yes
0.032313, 0.133673, 0.107027, 0.200878, 0.256284, 6.000000, 40.669407,yes
0.035967, 0.164884, 0.074730, 0.148934, 0.307908, 6.000000, 41.369849,yes
0.038587, 0.162068, 0.048756, 0.115941, 0.303739, 6.000000, 43.408336,yes
0.023352, 0.151953, 0.097187, 0.170765, 0.158189, 6.000000, 48.117136,yes
0.029416, 0.177926, 0.041000, 0.089699, 0.289399, 6.000000, 43.307494,yes
0.017987, 0.134664, 0.078814, 0.119532, 0.290679, 6.000000, 45.766248,yes
0.033861, 0.223452, 0.034780, 0.132976, 0.216544, 6.000000, 45.877517,yes
0.026031, 0.157716, 0.017940, 0.210583, 0.244859, 6.000000, 45.449501,yes
0.033931, 0.092882, 0.061792, 0.153436, 0.270135, 6.000000, 46.498755,yes
0.061523, 0.203359, 0.075303, 0.117700, 0.216347, 6.000000, 43.361236,yes
0.084208, 0.138290, 0.096114, 0.102224, 0.318353, 6.000000, 41.130156,yes
0.043141, 0.211482, 0.076046, 0.099114, 0.233967, 6.000000, 44.172987,yes
0.012001, 0.086497, 0.023424, 0.159829, 0.388986, 6.000000, 49.740650,yes
0.022731, 0.161601, 0.102054, 0.152987, 0.225990, 6.000000, 41.895562,yes
0.029706, 0.109186, 0.055454, 0.168980, 0.260212, 6.000000, 46.644071,yes
0.021550, 0.129152, 0.042303, 0.196505, 0.207008, 6.000000, 50.179780,yes
0.030254, 0.186406, 0.069772, 0.108307, 0.356993, 6.000000, 44.793301,yes
0.053140, 0.207295, 0.043293, 0.134137, 0.238031, 6.000000, 46.433211,yes
0.049724, 0.129082, 0.022099, 0.127336, 0.293285, 6.000000, 48.812653,yes
0.035940, 0.090133, 0.083201, 0.159060, 0.245033, 6.000000, 47.827957,yes
0.039030, 0.117053, 0.037404, 0.168436, 0.284671, 6.000000, 47.570658,yes
0.020293, 0.165583, 0.063155, 0.223217, 0.264145, 6.000000, 39.888294,yes
0.050921, 0.137012, 0.096213, 0.144874, 0.242837, 6.000000, 44.477702,yes
0.016143, 0.171615, 0.029984, 0.168906, 0.290295, 6.000000, 44.675347,yes
