time,signal
0.000000,-1.177014
0.005000,0.579937
0.010000,0.939130
0.015000,-2.656760
0.020000,-2.305306
0.025000,-2.131396
0.030000,-0.378326
0.035000,0.508131
0.040000,5.572489
0.045000,-1.113784
0.050000,3.910296
0.055000,1.310917
0.060000,1.357311
0.065000,0.124215
0.070000,2.712881
0.075000,-0.092732
0.080000,-2.108715
0.085000,2.561175
0.090000,-1.838731
0.095000,1.153573
0.100000,1.665329
0.105000,2.589210
0.110000,-1.729572
0.115000,1.293094
0.120000,1.329231
0.125000,2.940148
0.130000,2.689146
0.135000,0.687126
0.140000,2.060891
0.145000,-0.095951
0.150000,-2.384293
0.155000,2.195974
0.160000,-3.644786
0.165000,-2.433157
0.170000,2.968922
0.175000,-1.641527
0.180000,-0.709034
0.185000,-4.168171
0.190000,1.208880
0.195000,0.277984
0.200000,2.968199
0.205000,4.143981
0.210000,-0.099315
0.215000,-0.777740
0.220000,-2.337182
0.225000,0.238950
0.230000,0.183853
0.235000,2.335136
0.240000,-0.589170
0.245000,-0.076214
0.250000,2.764828
0.255000,3.011350
0.260000,-0.542189
0.265000,-2.033828
0.270000,0.600422
0.275000,1.994183
0.280000,1.497675
0.285000,2.631793
0.290000,-1.510296
0.295000,0.565217
0.300000,3.737377
0.305000,-1.599740
0.310000,-0.819822
0.315000,-5.283840
0.320000,-1.023875
0.325000,0.051004
0.330000,-2.518728
0.335000,-0.564788
0.340000,-0.620646
0.345000,1.676422
0.350000,-0.359488
0.355000,-0.496183
0.360000,1.743084
0.365000,-1.532812
0.370000,-1.921826
0.375000,0.022936
0.380000,2.350791
0.385000,1.459099
0.390000,-2.966278
0.395000,2.911743
0.400000,1.846132
0.405000,-1.439300
0.410000,2.172001
0.415000,-1.455406
0.420000,0.877566
0.425000,-1.066161
0.430000,-0.465100
0.435000,-2.356424
0.440000,-2.641724
0.445000,1.485203
0.450000,1.517142
0.455000,-0.685425
0.460000,3.092027
0.465000,-1.875318
0.470000,0.655091
0.475000,-1.584586
0.480000,-0.837888
0.485000,-2.381800
0.490000,-1.491766
0.495000,-0.308648
0.500000,3.250225
0.505000,-0.026609
0.510000,1.817661
0.515000,-2.515688
0.520000,-1.215696
0.525000,1.816921
0.530000,-3.877250
0.535000,2.785521
0.540000,3.346853
0.545000,-2.193722
0.550000,3.906052
0.555000,-1.054298
0.560000,-0.011976
0.565000,-0.202850
0.570000,1.436607
0.575000,0.608883
0.580000,2.513315
0.585000,3.169023
0.590000,-0.231955
0.595000,0.273754
0.600000,-0.930562
0.605000,0.223191
0.610000,-0.501603
0.615000,-1.091615
0.620000,0.231587
0.625000,0.771493
0.630000,1.082462
0.635000,-1.293151
0.640000,-1.618243
0.645000,-1.460107
0.650000,0.401591
0.655000,2.868601
0.660000,1.265298
0.665000,-0.442938
0.670000,2.709740
0.675000,-2.232018
0.680000,-3.254811
0.685000,-1.057911
0.690000,0.446434
0.695000,2.397214
0.700000,1.463247
0.705000,-1.009142
0.710000,-2.623395
0.715000,-1.149949
0.720000,2.573560
0.725000,-0.448949
0.730000,-4.950634
0.735000,-2.186052
0.740000,1.530552
0.745000,1.824078
0.750000,2.247280
0.755000,4.713999
0.760000,-0.233921
0.765000,1.372788
0.770000,5.690771
0.775000,-0.296858
0.780000,2.248452
0.785000,1.232086
0.790000,-2.879388
0.795000,-0.915351
0.800000,-0.135642
0.805000,0.802130
0.810000,-0.902234
0.815000,1.087476
0.820000,-1.672813
0.825000,-0.239963
0.830000,-1.778035
0.835000,-0.931859
0.840000,0.966442
0.845000,-0.193372
0.850000,2.242314
0.855000,-0.424573
0.860000,-3.183245
0.865000,4.072784
0.870000,-4.146839
0.875000,-1.279073
0.880000,0.086313
0.885000,-3.787890
0.890000,2.987498
0.895000,-0.875676
0.900000,4.181724
0.905000,-0.713607
0.910000,-1.349376
0.915000,-1.027297
0.920000,-0.578284
0.925000,1.087411
0.930000,0.722857
0.935000,3.710859
0.940000,2.409062
0.945000,0.796674
0.950000,0.377271
0.955000,-5.008849
0.960000,0.251073
0.965000,3.333135
0.970000,-2.996530
0.975000,-1.154666
0.980000,-1.099243
0.985000,-0.968237
0.990000,0.114397
0.995000,-2.549700
