time,signal
0.000000,-1.709788
0.005000,3.559666
0.010000,2.361315
0.015000,-1.787431
0.020000,-0.971743
0.025000,1.635714
0.030000,0.272002
0.035000,1.274674
0.040000,1.510649
0.045000,-0.131514
0.050000,1.826361
0.055000,-0.488481
0.060000,0.631092
0.065000,0.950470
0.070000,2.855358
0.075000,2.395083
0.080000,2.865062
0.085000,-0.348355
0.090000,2.512027
0.095000,-0.098840
0.100000,1.994817
0.105000,-1.350155
0.110000,1.555936
0.115000,-0.802024
0.120000,0.589483
0.125000,-0.235551
0.130000,-1.306322
0.135000,3.420403
0.140000,1.827901
0.145000,1.232099
0.150000,1.214705
0.155000,-1.148817
0.160000,-3.460726
0.165000,-0.949982
0.170000,-2.584379
0.175000,2.320874
0.180000,1.557550
0.185000,1.620162
0.190000,-0.204734
0.195000,-0.607228
0.200000,2.776853
0.205000,-2.173053
0.210000,-1.438366
0.215000,0.760950
0.220000,0.905893
0.225000,-2.180623
0.230000,-3.237246
0.235000,0.699319
0.240000,-0.614409
0.245000,0.203010
0.250000,0.021803
0.255000,-1.126752
0.260000,-1.532243
0.265000,1.252494
0.270000,1.609650
0.275000,-0.804213
0.280000,-4.186790
0.285000,-3.046971
0.290000,2.430905
0.295000,-1.965577
0.300000,0.448030
0.305000,0.801260
0.310000,2.443978
0.315000,0.719068
0.320000,0.382031
0.325000,-4.075444
0.330000,-2.933415
0.335000,-0.523199
0.340000,-3.559554
0.345000,-0.381832
0.350000,-0.376517
0.355000,-0.263073
0.360000,2.871806
0.365000,-0.499509
0.370000,0.544711
0.375000,1.556468
0.380000,1.411470
0.385000,1.382173
0.390000,2.431253
0.395000,3.801289
0.400000,-3.020390
0.405000,0.938124
0.410000,-0.897721
0.415000,-0.852977
0.420000,5.052733
0.425000,-0.310307
0.430000,-1.018510
0.435000,-0.578742
0.440000,-3.781555
0.445000,1.857182
0.450000,3.182369
0.455000,-0.080744
0.460000,1.533713
0.465000,-0.974234
0.470000,-0.710191
0.475000,0.372360
0.480000,-0.901582
0.485000,1.130372
0.490000,1.006852
0.495000,2.216857
0.500000,-1.350697
0.505000,4.308407
0.510000,0.796724
0.515000,-3.374839
0.520000,-0.476122
0.525000,0.741413
0.530000,0.211116
0.535000,-0.760605
0.540000,1.090403
0.545000,-0.916323
0.550000,-0.246953
0.555000,2.323679
0.560000,1.569640
0.565000,0.904934
0.570000,-0.749671
0.575000,-1.186700
0.580000,-2.740440
0.585000,2.529716
0.590000,1.944444
0.595000,3.274656
0.600000,0.607187
0.605000,0.698238
0.610000,-1.646103
0.615000,0.984170
0.620000,2.153490
0.625000,-1.188244
0.630000,-0.969892
0.635000,0.468610
0.640000,1.462727
0.645000,0.598394
0.650000,0.429458
0.655000,-2.504960
0.660000,-0.600940
0.665000,3.003902
0.670000,2.299734
0.675000,1.208143
0.680000,-3.901526
0.685000,-0.141936
0.690000,2.000295
0.695000,-0.298452
0.700000,-1.203034
0.705000,0.560802
0.710000,0.563391
0.715000,1.012333
0.720000,0.213639
0.725000,-3.005809
0.730000,0.100704
0.735000,-1.146110
0.740000,0.807139
0.745000,-0.932292
0.750000,0.349424
0.755000,2.467622
0.760000,0.784842
0.765000,0.832670
0.770000,-0.527674
0.775000,3.386077
0.780000,0.541640
0.785000,1.904485
0.790000,3.072093
0.795000,-0.244359
0.800000,-0.696239
0.805000,0.488837
0.810000,0.159170
0.815000,1.107642
0.820000,-1.617625
0.825000,-0.866774
0.830000,0.368793
0.835000,-1.264443
0.840000,1.825672
0.845000,-1.729436
0.850000,3.601336
0.855000,-0.871603
0.860000,-0.779974
0.865000,1.295478
0.870000,-0.814221
0.875000,1.049114
0.880000,0.562386
0.885000,-1.129783
0.890000,-2.368535
0.895000,1.869414
0.900000,1.382705
0.905000,-0.387895
0.910000,2.600250
0.915000,0.293842
0.920000,1.459841
0.925000,-3.306295
0.930000,-3.396977
0.935000,-1.931380
0.940000,-3.161850
0.945000,0.244106
0.950000,2.076460
0.955000,-1.203963
0.960000,-0.354956
0.965000,2.622042
0.970000,0.112288
0.975000,1.950643
0.980000,-0.452389
0.985000,-0.541544
0.990000,3.395968
0.995000,3.319242
