time,signal
0.000000,1.398193
0.005000,-5.230749
0.010000,0.422180
0.015000,-5.282164
0.020000,0.182553
0.025000,0.848656
0.030000,-1.927305
0.035000,0.926400
0.040000,-2.475733
0.045000,1.529023
0.050000,4.618190
0.055000,1.057926
0.060000,2.193099
0.065000,2.300799
0.070000,1.205975
0.075000,3.657220
0.080000,1.079904
0.085000,2.405186
0.090000,-3.623181
0.095000,1.435911
0.100000,2.152936
0.105000,0.781752
0.110000,1.217506
0.115000,-0.104614
0.120000,-1.941220
0.125000,2.259386
0.130000,0.818754
0.135000,0.520846
0.140000,-4.256974
0.145000,1.469314
0.150000,1.789259
0.155000,3.206270
0.160000,2.732127
0.165000,-2.613548
0.170000,-0.377653
0.175000,-1.101876
0.180000,-0.767896
0.185000,-2.268044
0.190000,-2.818853
0.195000,0.585835
0.200000,-1.872098
0.205000,0.909138
0.210000,-4.925691
0.215000,-0.833708
0.220000,2.450377
0.225000,0.361326
0.230000,-1.267082
0.235000,3.866742
0.240000,0.553668
0.245000,0.963050
0.250000,-0.655330
0.255000,2.542862
0.260000,-0.437642
0.265000,-3.378843
0.270000,1.829828
0.275000,0.276587
0.280000,1.059013
0.285000,-2.363657
0.290000,0.403467
0.295000,-1.412619
0.300000,-2.634843
0.305000,0.193385
0.310000,-0.246348
0.315000,0.748119
0.320000,-2.489426
0.325000,-4.276060
0.330000,0.427077
0.335000,-1.786676
0.340000,2.982392
0.345000,-0.598051
0.350000,-3.446319
0.355000,-1.246458
0.360000,-0.283121
0.365000,2.285852
0.370000,-0.074136
0.375000,4.304087
0.380000,0.726129
0.385000,0.364986
0.390000,-0.405284
0.395000,-0.034974
0.400000,-1.062089
0.405000,4.533094
0.410000,-1.602717
0.415000,4.556413
0.420000,-2.530288
0.425000,2.328285
0.430000,-0.047839
0.435000,-1.694682
0.440000,2.184346
0.445000,0.653139
0.450000,1.949307
0.455000,-1.633717
0.460000,0.602644
0.465000,-1.601164
0.470000,-0.449828
0.475000,-3.378274
0.480000,-0.419025
0.485000,1.239623
0.490000,-2.294079
0.495000,-3.471207
0.500000,1.793605
0.505000,0.070992
0.510000,0.513744
0.515000,2.012691
0.520000,1.434735
0.525000,-3.023858
0.530000,-1.459873
0.535000,-1.810235
0.540000,-3.598143
0.545000,1.224270
0.550000,-1.895134
0.555000,1.408921
0.560000,-2.094792
0.565000,2.905361
0.570000,1.806809
0.575000,-0.352807
0.580000,2.275738
0.585000,0.710813
0.590000,-1.045977
0.595000,1.664241
0.600000,1.532593
0.605000,-0.547794
0.610000,3.274240
0.615000,1.871483
0.620000,2.571698
0.625000,1.689680
0.630000,-3.016998
0.635000,-1.449678
0.640000,2.229805
0.645000,2.432185
0.650000,4.090795
0.655000,2.561100
0.660000,0.821945
0.665000,-0.061615
0.670000,-0.847572
0.675000,-2.743678
0.680000,-0.277540
0.685000,0.292732
0.690000,0.559895
0.695000,0.475418
0.700000,0.479045
0.705000,1.255231
0.710000,2.474803
0.715000,0.960422
0.720000,0.745058
0.725000,-1.025331
0.730000,1.999925
0.735000,-0.167969
0.740000,2.266340
0.745000,0.139446
0.750000,2.401632
0.755000,0.562653
0.760000,2.751439
0.765000,-0.848315
0.770000,-1.620181
0.775000,-0.550547
0.780000,0.394415
0.785000,-2.588782
0.790000,-2.824465
0.795000,1.370120
0.800000,2.299986
0.805000,0.923338
0.810000,-2.335192
0.815000,0.256982
0.820000,-0.237663
0.825000,-3.708997
0.830000,3.356766
0.835000,-2.129835
0.840000,1.822131
0.845000,-2.284495
0.850000,-2.154100
0.855000,2.275372
0.860000,-0.322641
0.865000,-0.213071
0.870000,-0.830926
0.875000,-1.063645
0.880000,-2.324381
0.885000,1.103829
0.890000,-0.261138
0.895000,1.133956
0.900000,0.163622
0.905000,0.437206
0.910000,2.053217
0.915000,-0.134474
0.920000,1.813176
0.925000,0.474680
0.930000,2.019057
0.935000,0.449091
0.940000,1.794966
0.945000,1.395340
0.950000,-0.277379
0.955000,-1.468911
0.960000,-3.351176
0.965000,0.129172
0.970000,-1.383628
0.975000,2.984442
0.980000,-0.811937
0.985000,-2.418261
0.990000,-0.065045
0.995000,2.080138
